timestamp,x,y,z,w
222716481025,0.412231,-0.110596,-0.0953369,0.899292
222716496217,0.412659,-0.110779,-0.0951538,0.899048
222716516977,0.412903,-0.110779,-0.0950317,0.898987
222716533297,0.413086,-0.110657,-0.0948486,0.898926
222716555831,0.413452,-0.110535,-0.0947876,0.898804
222716576942,0.413879,-0.110535,-0.0947266,0.89856
222716593292,0.413879,-0.110535,-0.0947266,0.898621
222716623334,0.413818,-0.110535,-0.0947266,0.898621
222716636958,0.413757,-0.110535,-0.0947266,0.898621
222716653405,0.413879,-0.110352,-0.0947876,0.898621
222716675785,0.413879,-0.110352,-0.0947876,0.898621
222716696962,0.413574,-0.110229,-0.0949707,0.898743
222716713384,0.413574,-0.110168,-0.0949707,0.898743
222716735850,0.413696,-0.110107,-0.0949707,0.898682
222716756818,0.414062,-0.110352,-0.0948486,0.898499
222716773249,0.414062,-0.110352,-0.0948486,0.898499
222716795839,0.413696,-0.110168,-0.0949707,0.898682
222716818314,0.413635,-0.110168,-0.0950317,0.898682
222716832653,0.414124,-0.109985,-0.0949097,0.898499
222716856496,0.414734,-0.110168,-0.0947266,0.898254
222716878300,0.414734,-0.110168,-0.0947266,0.898254
222716893305,0.414429,-0.110229,-0.0947266,0.898376
222716915832,0.414062,-0.110107,-0.0950317,0.898499
222716938304,0.41394,-0.110046,-0.0950928,0.89856
222716952629,0.414124,-0.110168,-0.0950928,0.898438
222716981848,0.414246,-0.110352,-0.0952148,0.898376
222716998345,0.413818,-0.110352,-0.095459,0.89856
222717012658,0.413513,-0.110168,-0.0957642,0.898682
222717035786,0.413513,-0.110046,-0.0958252,0.898682
222717058283,0.41394,-0.110107,-0.0957642,0.898499
222717072644,0.414124,-0.110229,-0.0957642,0.898376
222717103264,0.414062,-0.110168,-0.0957642,0.898438
222717118333,0.414062,-0.110107,-0.0958252,0.898438
222717132625,0.414001,-0.110107,-0.0958252,0.898438
222717156459,0.414001,-0.110107,-0.0958252,0.898499
222717178045,0.413879,-0.110107,-0.0961914,0.898438
222717192621,0.413879,-0.110107,-0.0962524,0.898499
222717216429,0.413818,-0.109802,-0.0963745,0.898499
222717238333,0.414124,-0.109558,-0.0961914,0.898438
222717259358,0.414734,-0.109619,-0.0961304,0.898132
222717275786,0.415039,-0.109741,-0.0964966,0.897949
222717298293,0.414856,-0.109619,-0.0967407,0.89801
222717319392,0.414795,-0.109558,-0.0967407,0.898071
222717335840,0.414795,-0.109497,-0.0968018,0.898071
222717358250,0.414551,-0.109741,-0.0968628,0.898132
222717379354,0.414185,-0.109863,-0.0970459,0.898254
222717395739,0.414001,-0.10968,-0.09729,0.898315
222717418292,0.414001,-0.108887,-0.09729,0.898438
222717439454,0.41394,-0.107544,-0.0971069,0.898682
222717455788,0.411316,-0.10498,-0.0976562,0.900085
222717478986,0.411987,-0.103882,-0.0966187,0.900024
222717500738,0.411011,-0.100952,-0.0930176,0.901184
222717515778,0.41095,-0.100525,-0.0892334,0.901672
222717538303,0.418457,-0.101868,-0.0918579,0.897766
222717551958,0.421814,-0.101685,-0.0957642,0.895813
222717574524,0.412537,-0.0958862,-0.0955811,0.900818
222717596837,0.402222,-0.0925293,-0.097229,0.905579
222717619502,0.401855,-0.0927734,-0.098999,0.905518
222717635108,0.404968,-0.0941772,-0.0961914,0.904358
222717665775,0.408936,-0.0940552,-0.0932617,0.902893
222717686910,0.411377,-0.0936279,-0.0922241,0.901917
222717695145,0.411865,-0.0941772,-0.0908813,0.901733
222717718267,0.412781,-0.0941162,-0.0895386,0.901489
222717740675,0.41449,-0.0931396,-0.088623,0.900879
222717755837,0.415222,-0.0924072,-0.0887451,0.900635
222717778316,0.415466,-0.0925293,-0.0891724,0.900452
222717800779,0.415405,-0.0930786,-0.0883789,0.900513
222717815802,0.414124,-0.0932007,-0.0875854,0.901123
222717838299,0.413757,-0.0921631,-0.0883179,0.901367
222717860778,0.416443,-0.0921021,-0.0877075,0.900146
222717883278,0.415833,-0.0941162,-0.0856323,0.900452
222717898449,0.413147,-0.0949097,-0.0852051,0.901672
222717920836,0.412659,-0.0933838,-0.085144,0.902039
222717935632,0.415588,-0.0938721,-0.0845947,0.900696
222717958041,0.417603,-0.0970459,-0.0835571,0.899536
222717980685,0.416443,-0.0995483,-0.0826416,0.899902
222718001930,0.415405,-0.0990601,-0.0824585,0.900391
222718018294,0.41626,-0.0981445,-0.0827637,0.900085
222718040821,0.418396,-0.0991821,-0.0823364,0.899048
222718055109,0.419067,-0.100159,-0.0817261,0.898682
222718078279,0.419495,-0.0991211,-0.081604,0.898621
222718100766,0.420715,-0.0984497,-0.0819702,0.898071
222718115119,0.420532,-0.100037,-0.0817871,0.89801
222718138032,0.419189,-0.101074,-0.081604,0.898499
222718160682,0.418457,-0.0998535,-0.0820312,0.898926
222718175095,0.419922,-0.0997314,-0.0820312,0.898254
222718199719,0.421143,-0.10199,-0.0811768,0.897522
222718223445,0.419495,-0.103516,-0.0800781,0.898254
222718244533,0.418823,-0.10199,-0.079834,0.898743
222718258258,0.420349,-0.0999146,-0.0803833,0.898193
222718280549,0.421265,-0.0995483,-0.0802612,0.897827
222718301879,0.420898,-0.103149,-0.0806274,0.897583
222718318289,0.417297,-0.104919,-0.0809326,0.899048
222718340681,0.418457,-0.100159,-0.0827026,0.898865
222718361804,0.415283,-0.102295,-0.0823975,0.900146
222718384440,0.418884,-0.108887,-0.0792236,0.897949
222718401426,0.41803,-0.107178,-0.0808716,0.898438
222718421938,0.419861,-0.104919,-0.0806885,0.897888
222718438253,0.420654,-0.10614,-0.079895,0.8974
222718460821,0.419373,-0.106995,-0.0795898,0.897949
222718481916,0.418945,-0.105286,-0.0805664,0.898254
222718498291,0.419189,-0.103638,-0.0819702,0.898193
222718521313,0.419189,-0.104858,-0.0820312,0.898071
222718549398,0.417847,-0.106506,-0.0814819,0.89856
222718558270,0.417297,-0.106018,-0.081665,0.898804
222718580671,0.417969,-0.10553,-0.0819092,0.89856
222718602629,0.417786,-0.106995,-0.081604,0.898499
222718618236,0.41626,-0.108459,-0.0812378,0.899048
222718646934,0.416565,-0.106995,-0.0817261,0.899048
222718661954,0.418274,-0.105042,-0.0824585,0.898438
222718685763,0.418579,-0.106873,-0.0820923,0.898071
222718700769,0.417297,-0.109009,-0.0812378,0.898499
222718723235,0.417236,-0.10791,-0.0806885,0.898743
222718738227,0.420105,-0.105957,-0.0806885,0.897583
222718760723,0.423035,-0.10614,-0.0802612,0.89624
222718783273,0.423035,-0.108093,-0.0793457,0.896118
222718798263,0.421082,-0.108765,-0.0792236,0.896973
222718820741,0.420349,-0.107788,-0.0799561,0.897339
222718849310,0.42041,-0.107178,-0.0806885,0.897339
222718857594,0.420227,-0.108582,-0.0801392,0.897278
222718880682,0.420044,-0.108948,-0.0795898,0.8974
222718903262,0.420776,-0.107544,-0.079895,0.897156
222718917590,0.421875,-0.106812,-0.0805664,0.896667
222718940687,0.421509,-0.108276,-0.0804443,0.896667
222718963255,0.421021,-0.108765,-0.0800781,0.896912
222718977603,0.42218,-0.107605,-0.079834,0.896484
222719000698,0.423584,-0.1073,-0.0794678,0.895935
222719023197,0.423401,-0.108093,-0.0787964,0.895996
222719037556,0.422668,-0.107178,-0.0789185,0.896423
222719060693,0.423218,-0.105347,-0.0796509,0.896301
222719083272,0.423706,-0.10553,-0.0801392,0.895996
222719097551,0.423218,-0.107178,-0.0797119,0.896118
222719128257,0.422119,-0.107056,-0.0786743,0.896729
222719143276,0.422668,-0.105042,-0.0775146,0.89679
222719164391,0.425293,-0.102722,-0.0767822,0.895874
222719180726,0.428101,-0.101807,-0.0789185,0.89447
222719203223,0.428711,-0.100525,-0.0819092,0.894043
222719224330,0.42804,-0.0975342,-0.0837402,0.894531
222719240680,0.427673,-0.0957031,-0.0863647,0.894653
222719263758,0.426758,-0.0963135,-0.0886841,0.894836
222719284391,0.426636,-0.0987549,-0.0910034,0.894348
222719300528,0.425232,-0.10022,-0.0906372,0.894897
222719323290,0.425537,-0.101318,-0.088562,0.894836
222719351844,0.427612,-0.102844,-0.0881958,0.893738
222719360728,0.432434,-0.104797,-0.0898438,0.890991
222719383642,0.434448,-0.106201,-0.0914917,0.889709
222719404219,0.43457,-0.107788,-0.0930786,0.889282
222719420694,0.432556,-0.108459,-0.0950928,0.889954
222719443216,0.429626,-0.108765,-0.0957642,0.891296
222719464372,0.429382,-0.109131,-0.0950317,0.891418
222719480709,0.430298,-0.109924,-0.0939941,0.890991
222719503208,0.432129,-0.110596,-0.0933228,0.890076
222719524261,0.434204,-0.110413,-0.0933838,0.889099
222719542188,0.435303,-0.109314,-0.093811,0.888611
222719564505,0.435486,-0.108704,-0.0935669,0.888672
