timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,,,
2.22905E+11,-2,-2,-1,-1,-2,0,-3,-2,1,,
2.22905E+11,0,-1,-1,-1,0,-1,-2,-2,2,,
2.22905E+11,-1,-2,-1,-1,-3,0,-2,-1,3,,
2.22905E+11,0,-1,-1,-1,0,-1,0,-2,4,,
2.22905E+11,2,0,-1,0,-1,0,1,3,5,,
2.22905E+11,-1,-1,1,2,0,-3,-1,-5,6,,
2.22905E+11,-3,-3,-1,-2,-1,0,0,-1,7,,
2.22905E+11,1,0,-1,-2,-1,-2,-1,0,8,,
2.22905E+11,-1,-1,-3,0,-2,-1,0,0,9,,
2.22905E+11,-4,0,0,-1,-2,1,-2,1,10,,
2.22905E+11,-1,2,-1,-2,-2,0,-4,-3,11,,
2.22905E+11,-2,-1,1,0,-2,-1,-1,1,12,,
2.22905E+11,-2,-3,-3,-4,-1,-2,-2,-2,13,,
2.22905E+11,-1,0,0,1,-1,-1,1,3,14,,
2.22905E+11,0,-3,-1,-1,-2,-2,-1,0,15,,
2.22905E+11,0,0,-1,-1,-1,-1,-1,-1,16,,
2.22905E+11,1,0,0,0,0,-1,0,1,17,,
2.22905E+11,-2,0,0,0,-2,0,-2,-3,18,,
2.22905E+11,1,1,-1,0,-2,0,1,2,19,,
2.22905E+11,-3,-2,-2,-1,0,-1,-2,-2,20,,
2.22905E+11,-1,-1,1,0,-2,-1,0,1,21,,
2.22905E+11,3,-3,-1,-1,0,0,0,1,22,,
2.22905E+11,-2,-4,-1,-1,0,0,1,-4,23,,
2.22905E+11,1,1,-2,-1,-1,1,0,-3,24,,
2.22905E+11,0,0,-1,0,-1,0,-1,0,25,,
2.22905E+11,2,1,1,-2,0,-1,0,0,26,,
2.22905E+11,-1,-2,-1,-4,-1,-1,-2,-1,27,,
2.22905E+11,0,0,1,-2,-1,-1,1,0,28,,
2.22905E+11,-6,-7,-3,0,0,-2,-2,-2,29,,
2.22905E+11,-3,-1,-3,-2,0,0,-1,-5,30,,
2.22905E+11,-2,1,-1,0,1,-2,0,1,31,,
2.22905E+11,-2,-1,-2,1,0,-1,1,-3,32,,
2.22905E+11,0,-1,-1,0,-1,0,1,0,33,,
2.22905E+11,0,-1,-1,0,-2,0,1,2,34,,
2.22905E+11,-1,2,-1,-1,-1,0,-2,-7,35,,
2.22905E+11,-1,0,-2,-2,-1,-1,-2,0,36,,
2.22905E+11,0,-3,-1,0,-2,0,-2,-1,37,,
2.22905E+11,-4,0,-2,-1,0,0,-1,-1,38,,
2.22905E+11,-2,2,0,0,-1,0,0,0,39,,
