timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,
2204260429,-2,0,-1,-1,-2,-2,-7,-4,1
2204260429,-1,-1,-2,0,1,-2,-1,-2,2
2204262031,1,-1,-1,1,0,1,3,3,3
2204262031,-3,0,-1,0,0,1,-6,-15,4
2204274678,-1,-1,-4,-2,0,-1,6,9,5
2204274678,-5,-2,-3,-1,-2,-3,-5,-6,6
2204289062,-2,-2,-1,-3,-1,-1,-4,-2,7
2204289062,2,0,-1,0,-1,1,1,1,8
2204297867,1,-1,1,-3,-3,-1,0,-2,9
2204297867,-2,0,0,0,-1,-1,-2,-1,10
2204299443,-1,-1,-1,0,2,1,0,-1,11
2204299443,-1,0,-2,-1,-2,-2,3,-1,12
2204327826,-1,-1,-1,-1,-2,0,-2,-4,13
2204327826,0,-1,-1,-3,0,-1,1,2,14
2204329411,-1,-4,-1,-3,-2,-1,-3,-4,15
2204329411,0,-1,0,-1,1,0,1,3,16
2204333988,0,0,0,-2,-1,-1,-2,-1,17
2204333988,2,-1,-2,-1,-1,0,2,-2,18
2204343825,-2,0,-2,-1,-2,-6,0,-1,19
2204343825,-2,-1,-1,-1,-1,-2,-9,0,20
2204357956,-1,-1,-2,0,-1,0,4,1,21
2204357956,0,0,0,-1,-1,0,3,0,22
2204359517,-4,-3,0,-4,-3,-3,-10,-6,23
2204359517,-1,-2,-2,-1,0,-1,-4,-5,24
2204380321,-2,-1,-2,-1,-1,-3,-3,-3,25
2204380321,1,0,-2,2,0,2,4,4,26
2204381947,0,0,-1,0,0,0,-1,0,27
2204381947,-1,-1,0,-1,0,-1,0,-1,28
2204393990,-2,1,-1,-2,-2,0,2,0,29
2204393990,-2,-2,-2,-1,-1,-2,0,-1,30
2204403056,1,0,1,0,-3,-1,-1,-3,31
2204403056,0,-1,-1,0,-1,-1,0,-1,32
2204417984,0,-1,-2,0,-1,-2,-2,-2,33
2204417984,-2,0,0,-2,0,0,0,1,34
2204419464,-2,0,-2,-1,-2,-2,-1,0,35
2204419464,-1,-3,-1,-2,-1,-1,4,2,36
2204440587,0,-1,-2,1,-1,-1,-2,-2,37
2204440587,-1,-1,0,0,-2,-1,-1,-3,38
2204442137,-1,-1,0,-2,0,1,0,0,39
2204442137,-2,-1,1,0,-2,-1,1,1,40
2204462823,-1,-2,-1,-1,-2,-3,4,0,41
2204462823,-1,-1,-2,-2,0,-1,-14,-3,42
2204464458,0,-1,-1,-1,-1,-1,10,2,43
2204464458,-2,-1,0,2,0,-4,-1,-5,44
2204477804,-1,-2,-1,-1,0,0,0,2,45
2204477804,-1,-2,0,-1,-2,0,0,-8,46
2204479605,-1,-1,-2,1,1,-1,1,3,47
2204479605,1,-1,-1,-2,-3,1,2,2,48
2204500765,-2,0,0,-2,0,-1,-5,-4,49
