timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
222716480179,6,-3,0,0,-3,1,0,3
222716480179,-10,3,0,0,0,-2,1,-1
222716481663,25,0,-1,-1,1,-2,0,0
222716481663,-20,-7,0,-2,0,1,3,-7
222716495030,-34,-12,-3,-1,-1,-1,-2,-4
222716495030,18,5,-1,-1,0,1,2,2
222716496634,-1,0,1,1,-1,-2,-2,-5
222716496634,9,0,0,0,1,0,-3,0
222716508759,1,7,-1,0,0,0,-1,1
222716508759,-10,-1,0,-1,-1,3,0,2
222716517693,1,-1,-2,-1,-2,-2,-2,-1
222716517693,8,-1,-1,0,-1,2,2,0
222716532614,-11,-4,0,-1,-1,-5,-11,-3
222716532614,1,6,3,3,1,-4,0,-7
222716534165,-17,-6,-2,-2,-2,-1,2,2
222716534165,11,2,-2,-4,-2,1,0,2
222716555055,7,-1,1,-1,-1,-2,0,-5
222716555055,-13,-2,-3,-1,-2,1,0,-6
222716556674,0,-1,1,0,-1,0,-3,1
222716556674,-1,-1,0,0,0,0,9,1
222716568665,0,0,-2,0,0,0,2,-1
222716568665,-6,-5,-2,-3,-2,-2,0,-2
222716577660,-1,2,1,0,-1,-2,-2,0
222716577660,-12,-3,-1,1,-2,-1,1,-1
222716592619,1,-5,-4,-2,-2,0,4,-5
222716592619,23,-2,-6,-2,0,-2,-2,1
222716594278,-26,0,1,1,0,-1,0,-5
222716594278,-16,1,0,-1,-2,-1,-2,-3
222716622512,28,2,-3,-3,-1,-1,0,2
222716622512,-21,-5,1,-1,1,1,-1,2
222716624144,7,0,-4,0,0,-1,1,0
222716624144,16,5,4,3,0,-4,-8,-2
222716628718,-11,-8,-5,-4,-3,0,-4,2
222716628718,-1,1,-2,-4,-1,2,6,-2
222716637645,2,4,4,2,1,-2,-3,0
222716637645,-4,0,0,-1,-2,-1,0,2
222716652559,13,3,-1,0,-2,-1,1,-1
222716652559,-12,-4,1,1,-2,-2,-4,-2
222716654449,0,-1,0,0,-1,0,1,3
222716654449,15,0,-3,-3,-1,-1,-1,3
222716675146,-19,-2,-1,0,-2,-2,-1,-6
222716675146,-1,-5,-3,-3,-2,-2,-2,-4
222716676647,-2,-8,-3,-1,-1,1,7,-20
222716676647,8,5,2,0,-1,-3,-4,-4
222716688669,6,3,-2,-3,0,2,15,-4
222716688669,4,5,2,0,-1,-3,-6,4
222716697684,-2,-1,-1,0,-1,1,4,-3
222716697684,-5,-7,-3,-1,-1,-1,-2,1
222716712503,12,8,4,1,-1,0,-4,2
222716712503,-3,-4,-1,1,2,0,0,-5
222716714176,17,8,1,-2,-1,0,-1,4
222716714176,-7,-4,-4,-1,-1,1,5,2
222716735025,-6,0,0,0,0,-3,-8,4
222716735025,7,5,0,0,-1,2,0,0
222716736665,-2,-2,-1,-3,-4,0,-2,7
222716736665,6,0,0,0,1,-1,-2,-1
222716748706,-7,-5,-3,-4,-3,-2,-2,0
222716748706,7,-1,-3,-4,-2,0,0,2
222716757644,-5,-3,2,2,-1,-3,-2,-1
222716757644,-3,-1,1,0,0,1,-1,-4
222716772668,14,-3,-2,-2,0,-1,-4,2
222716772668,-6,-1,1,0,0,-2,-4,-2
222716774241,4,4,0,1,1,1,-2,7
222716774241,7,-1,-2,-1,-2,-1,1,3
222716795049,-34,-2,-1,-1,0,-3,-9,-8
222716795049,-7,-1,-2,0,-4,-1,-3,-1
222716796628,13,-4,-3,-2,-1,1,3,4
222716796628,-2,-3,-3,-3,-2,-3,0,3
222716817461,10,1,-4,-4,-1,4,2,19
222716817461,-23,-19,-1,-2,-2,-2,1,-7
222716819115,11,4,-2,-3,-2,1,-1,3
222716819115,-19,3,1,3,0,0,-2,-4
222716831903,9,2,-1,-1,0,-1,1,-4
222716831903,-9,5,-1,-1,-1,-1,-2,-1
222716838715,-1,-5,-6,-4,-1,0,4,0
222716838715,4,3,2,0,0,-1,-2,-2
222716855655,-3,0,0,-2,-1,-1,2,-3
222716855655,14,2,0,1,-1,2,0,4
222716857310,-10,-2,0,1,1,0,-1,-6
222716857310,-9,-2,-2,-1,-1,0,-2,0
222716877612,3,-3,-2,-1,-1,-3,-3,-3
222716877612,6,2,0,0,-1,1,1,1
222716879185,-6,1,-1,-1,0,-3,-4,-4
222716879185,-6,-5,1,-2,-1,0,1,-2
222716892608,8,-1,0,-2,-1,1,2,1
222716892608,-25,-9,-1,-1,-1,-3,-5,-7
222716894131,-12,-2,1,1,-1,0,-1,1
222716894131,-3,3,0,-1,-1,-1,8,-12
222716914976,-7,0,-1,-2,0,1,-1,-4
222716914976,6,0,-1,-1,1,-2,0,-2
222716916623,0,-2,-3,-3,-1,-1,-3,-5
222716916623,3,1,-1,1,-1,1,0,-11
222716937635,-1,-13,-3,-2,-1,1,-4,4
222716937635,-9,3,-2,-3,1,-1,-1,1
222716939177,29,-4,0,-1,1,-1,1,-2
222716939177,-4,1,0,0,-3,-3,-3,-1
222716951900,2,0,-1,1,1,-3,-2,-5
222716951900,8,1,-1,-2,1,1,0,5
222716958707,4,4,1,1,0,0,0,2
222716958707,4,-5,0,-1,0,-4,-9,7
222716974730,3,4,0,1,-2,-3,-3,-2
222716974730,12,2,-1,-1,0,1,5,2
222716982680,-15,2,1,1,1,-3,-4,-2
222716982680,2,-2,-1,0,-1,-1,-3,0
222716997504,-15,-5,0,1,0,1,1,-3
222716997504,4,-1,-1,-1,1,2,1,-1
222716999144,-1,1,0,-1,-2,-1,-2,-2
222716999144,13,-1,0,0,0,0,-1,5
222717011951,2,-6,-3,-2,-3,-5,-6,-5
222717011951,1,10,0,-1,1,3,15,-8
222717018673,-16,-10,-2,-2,-1,-1,-3,0
222717018673,6,5,-1,-3,0,-1,2,0
222717035020,0,-2,-3,0,0,-3,-6,-2
222717035020,8,-1,1,2,-2,-2,-4,1
222717036594,-14,0,2,2,-1,2,1,-3
222717036594,7,-2,-6,-3,-3,-2,-2,4
222717057576,-7,1,-1,-3,-2,0,1,1
222717057576,4,-2,0,0,-2,-2,-6,3
222717059098,-4,0,1,0,-1,-1,0,-17
222717059098,-3,3,3,3,1,1,-4,10
222717071941,1,-2,2,-2,-2,-3,-3,-5
222717071941,-13,-12,-4,-3,-1,-2,-5,-2
222717078669,9,3,-2,-2,-1,0,3,0
222717078669,-26,1,6,1,1,-2,1,-5
222717102608,27,8,1,1,0,-2,1,4
222717102608,-40,-9,-3,-2,-2,-1,-4,-1
222717104129,12,-13,-7,-3,-3,-3,-2,6
222717104129,-5,0,-3,-2,-1,0,0,0
222717117503,-3,-5,-5,-7,-1,2,3,6
222717117503,-2,3,0,-2,0,-2,-3,-2
222717119114,2,9,5,2,1,-3,-1,2
