timestamp,x,y,z
222716481025,3.875,-0.6875,0.6875
222716496217,3.0625,-0.3125,0.625
222716516977,1.5625,0.375,0.5
222716533297,1.6875,0.6875,0.8125
222716555831,2.625,0.3125,0.4375
222716576942,3,-0.3125,0.5
222716593292,0.75,-0.375,0.875
222716623334,0.25,0.375,-0.4375
222716636958,0.8125,0.1875,-0.0625
222716653405,1,-0.125,-0.0625
222716675785,-0.25,-0.5625,-0.0625
222716696962,-1.9375,-0.25,-0.625
222716713384,0.25,0.0625,-0.75
222716735850,2.25,-0.25,0.6875
222716756818,2.5625,-1,0.6875
222716773249,-0.625,-0.625,-0.25
222716795839,-1.8125,0.3125,-0.6875
222716818314,0.3125,0.25,-0.625
222716832653,4.0625,0.0625,0.8125
222716856496,4.1875,-0.875,1.5625
222716878300,0.3125,-0.5625,0.9375
222716893305,-2.1875,-0.3125,-0.0625
222716915832,-1.5,-0.6875,-1.375
222716938304,0.75,-0.5625,-0.75
222716952629,1.875,-1.125,0.4375
222716981848,-0.125,-1.125,-0.5
222716998345,-2.25,-0.5625,-1.0625
222717012658,-1.125,-0.375,-1.125
222717035786,1.125,-0.125,-0.125
222717058283,2.5,-0.5625,0.25
222717072644,1.0625,-0.3125,0
222717103264,0.375,-0.5,-0.5
222717118333,0.625,-0.4375,-1
222717132625,-0.25,-0.0625,0.6875
222717156459,-0.25,-0.625,-0.5
222717178045,0.125,-1.1875,-2
222717192621,-0.3125,-0.5,-0.8125
222717216429,1.4375,0.5625,-1.0625
222717238333,3.375,1.0625,0.5
222717259358,3.0625,-0.25,0.1875
222717275786,0.8125,-1.25,-1.75
222717298293,0.1875,-0.5625,-1.3125
222717319392,-0.125,-0.375,0.125
222717335840,0.3125,-0.9375,0.875
222717358250,-1.5625,-1.5,0.4375
222717379354,-2.0625,-0.875,-1.0625
222717395739,-0.3125,0.875,-2.4375
222717418292,0.9375,4.1875,-2.0625
222717439454,1.3125,5.4375,-0.1875
222717455788,-19.375,7.5625,-1.9375
222717478986,3,10.5625,-0.4375
222717500738,2.9375,26.6875,7.9375
222717515778,-1.75,6.875,24.1875
222717538303,26.375,-8.5,-16.625
222717551958,11.75,6.0625,-39.375
222717574524,-64.3125,19.9375,5.125
222717596837,-50.9375,-2.375,4.1875
222717619502,10.5625,-5.75,-10.4375
222717635108,25.625,3.1875,11.4375
222717665775,24.9375,7.625,13.75
222717686910,12.8125,3.0625,5.3125
222717695145,4.625,2.5625,5.25
222717718267,7.75,6.4375,2.8125
222717740675,10,7,2.25
222717755837,2.125,1.625,0.0625
222717778316,-1.75,-2.5625,-1.0625
222717800779,0.25,-0.25,5
222717815802,-3.3125,1.5,3.8125
222717838299,2.1875,0.375,-2.875
222717860778,13.75,-1.5625,6.0625
222717883278,-5.625,-2.75,13.3125
222717898449,-12.6875,0.6875,0.1875
222717920836,4.9375,1.4375,3.25
222717935632,19.6875,-7,9.5625
222717958041,12.25,-11.0625,8.4375
222717980685,-7.125,-4.4375,3.5
222718001930,-3.625,2.125,0.875
222718018294,7.875,-0.875,1.375
222718040821,13.375,-3.0625,1.9375
222718055109,4.875,0.4375,0
222718078279,3.8125,3.4375,0.3125
222718100766,6.8125,-2.375,2.0625
222718115119,-1.0625,-5.875,2.5625
222718138032,-7.125,-0.875,-0.8125
222718160682,-1.875,1.5,-0.875
222718175095,8.9375,-4.4375,4.875
222718199719,6.5625,-6.125,5.625
222718223445,-8.375,1.1875,1.5625
222718244533,-1.75,7.9375,-1.75
222718258258,10.1875,3.625,-1.875
222718280549,7.875,2.5,-1.6875
222718301879,-7.75,-14.5625,2.125
222718318289,-12.75,-7.5,0.125
222718340681,3.0625,5.375,-2.8125
222718361804,-5.0625,-9.4375,4.875
222718384440,2,1.6875,0.1875
222718401426,-4.6875,-4.5,-1
222718421938,11.6875,5.75,1.9375
222718438253,4.625,-2.9375,4.6875
222718460821,-5.9375,0.875,-1.125
222718481916,-3.3125,2.9375,-5.125
222718498291,1.0625,-2.375,-1.9375
222718521313,-0.3125,-6.75,3.125
222718549398,-6.4375,-2.375,1.125
222718558270,-1.625,0.375,-0.25
222718580671,3.6875,-2.8125,3.3125
222718602629,-2.5625,-5.4375,3.375
222718618236,-7.1875,-0.75,-1.5625
222718646934,2.375,3.9375,-3.5
222718661954,10.5,-1.875,2.75
222718685763,2.25,-9.375,7.375
222718700769,-5.4375,-2.125,1.6875
222718723235,1.9375,7.5,-1.375
222718738227,17.625,4.375,1.0625
222718760723,16.0625,-3.25,5.5
222718783273,1.1875,-3.9375,4.125
222718798263,-9,0.1875,-1.4375
222718820741,-3.75,-0.25,-1.5
222718849310,-0.9375,-2.75,-0.1875
222718857594,0.8125,-3.3125,2.5625
222718880682,1.875,2.25,-0.25
222718903262,5.5625,3.25,-1.625
222718917590,4,-2.1875,-0.1875
222718940687,-2.75,-4.375,0.8125
222718963255,-2.75,1.1875,-0.1875
222718977603,6.25,2.875,2.5625
222719000698,8.75,-0.375,3.875
222719023197,1.6875,0.8125,0.875
222719037556,-0.625,5.0625,-3.9375
222719060693,5.0625,1.5,-1.5625
222719083272,4.1875,-5.875,1.875
222719097551,-1.75,-4.125,2.125
222719128257,-1.3125,6.3125,0.375
222719143276,8.8125,13.1875,0.25
222719164391,16.9375,12.75,-2.625
222719180726,8.125,1.5625,-15.625
222719203223,-4.9375,1.5,-21.0625
222719224330,-11.875,7.375,-10.9375
222719240680,-6.5625,-4.75,-7.875
222719263758,-3.25,-14.75,-3.5625
222719284391,2.5,-18.4375,-6.1875
222719300528,0.625,-4.75,2.125
222719323290,10.4375,0.4375,10.8125
222719351844,18,-5.8125,2.25
222719360728,29,-12.3125,-9.0625
222719383642,9.75,-9.9375,-7.0625
222719404219,-5.5,-11.6875,-4
222719420694,-16.1875,-9.125,-6.5625
222719443216,-16.875,-4.9375,0.3125
222719464372,2.375,-0.4375,5
222719480709,9.3125,-0.6875,5.0625
222719503208,14.1875,-0.625,2.375
222719524261,11.875,0.5625,-2
222719542188,5.5625,2.6875,-3
222719564505,0.625,1.4375,2.8125
222719584303,7.875,-0.375,4.6875
222719600691,3.9375,-1.8125,3.125
222719622975,-1.5,-1.1875,1.1875
222719645721,-0.9375,0.0625,-2.125
222719660045,-0.8125,-2.25,-2.5625
222719683209,-2.125,-4,-0.125
222719705751,-7.0625,-1.3125,1.6875
222719720693,-7.5,1,0.125
222719743245,-0.9375,-0.75,-1.375
222719771869,8.375,-1.75,0.875
222719786888,12.5,-0.5625,3.875
222719812155,10.4375,0.5,3.5
222719826432,3.125,0.8125,0.8125
222719840233,-3.8125,0.4375,-2.0625
222719869355,-1.4375,0.6875,-1.8125
222719885683,2.1875,-1.1875,1.4375
222719900244,-2.3125,0.3125,5
222719923217,-5.4375,-7.875,0.8125
222719945710,7.25,5.4375,-4.6875
222719960021,-7.125,-7.0625,-0.6875
222719983223,5.6875,-3.0625,3.9375
222720005713,-8.75,-7.6875,2.625
222720020046,-1.25,0.1875,-2.9375
222720043183,0.375,-0.75,-2.9375
222720065776,3.625,-0.3125,-1.625
222720080045,3.5,-0.5,-1.1875
222720103203,0,-1.125,-0.625
222720125890,-1.6875,-0.625,-0.9375
222720146874,-0.6875,0.125,-1.4375
222720163204,2,0.4375,-1.0625
222720185692,4.75,-0.125,0.1875
222720214374,3.5625,-0.9375,-0.375
222720223220,-1.5625,-0.75,-0.375
222720245677,-2.25,-0.8125,-1.125
222720266706,2.5,-1.0625,-1.5
222720283156,4.4375,-0.9375,0
222720305695,4.3125,-0.1875,-0.25
222720326784,3.1875,-0.375,-1.25
222720343181,-0.875,-1.1875,-1.1875
222720365686,-2.75,-1.375,-1.3125
