timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,
2.30947E+11,2,4,0,-2,0,-1,-3,0,1
2.30947E+11,0,0,2,-1,-2,0,-1,-2,2
2.30947E+11,4,2,-1,0,-1,1,0,1,3
2.30947E+11,-1,-3,1,0,1,-2,-1,-2,4
2.30947E+11,-4,-4,0,1,-4,0,0,1,5
2.30947E+11,-1,-3,-3,-1,1,0,-2,-5,6
2.30947E+11,2,-2,-3,0,-1,-2,-2,0,7
2.30947E+11,0,0,2,0,2,-1,-1,-3,8
2.30947E+11,0,0,-2,-3,-5,2,1,0,9
2.30947E+11,-2,1,1,0,-1,-3,1,-2,10
2.30947E+11,-1,-5,0,-1,0,0,-1,2,11
2.30947E+11,2,-1,-1,2,-1,-1,1,-1,12
2.30947E+11,-4,-3,-1,0,0,-2,-1,-4,13
2.30947E+11,-2,1,-2,-3,-1,0,-3,-1,14
2.30947E+11,-2,4,-1,-1,0,-1,1,0,15
2.30947E+11,-2,-2,-3,1,0,-1,-2,1,16
2.30947E+11,2,1,0,-1,-6,-3,0,0,17
2.30947E+11,-1,-2,-1,-1,0,0,-1,0,18
2.30947E+11,2,2,0,-2,0,-2,0,-2,19
2.30947E+11,-1,-1,-2,-4,-3,1,-3,-2,20
2.30947E+11,2,1,2,1,-1,-2,-1,-2,21
2.30947E+11,-3,-5,1,-1,-2,-2,-3,4,22
2.30947E+11,1,-3,-2,0,-3,0,2,0,23
2.30947E+11,0,0,0,1,-2,2,-1,1,24
2.30947E+11,0,0,-2,0,3,-1,-4,-1,25
2.30947E+11,-1,1,-1,0,0,0,0,-4,26
2.30947E+11,-4,-3,1,-2,-3,-1,-2,2,27
2.30947E+11,-1,-1,-4,-2,-2,-1,1,-1,28
2.30947E+11,-2,-3,-3,-3,-1,-2,0,0,29
2.30947E+11,1,-3,0,1,3,-1,0,1,30
2.30947E+11,-3,0,-2,-3,-2,0,-1,-3,31
2.30947E+11,-1,1,0,0,-2,-2,-1,-3,32
2.30947E+11,-5,0,-1,-2,1,-1,1,-1,33
2.30947E+11,-1,3,-4,0,0,-1,-1,0,34
2.30947E+11,-1,-2,-2,-2,-7,-2,0,-4,35
